gisco_id,name,registered,turnout,invalid,blank,FBP,VU,DPL,FL
LI_00001001,Vaduz,2900,2100,27,9,634,765,416,249
LI_00001003,Balzers,2684,2036,31,13,383,918,450,241
LI_00001006,Planken,267,239,2,3,103,78,33,20
LI_00001005,Schaan,3206,2427,26,12,693,855,508,333
LI_00001002,Triesen,2773,2019,35,7,444,697,642,194
LI_00001004,Triesenberg,1697,1333,14,7,297,599,327,89
LI_00002001,Eschen,2424,1772,24,12,554,601,426,155
LI_00002003,Gamprin,912,708,7,6,239,240,154,62
LI_00002002,Mauren,2262,1678,22,5,561,588,335,167
LI_00002004,Ruggell,1407,1151,7,6,339,450,245,104
LI_00002005,Schellenberg,651,544,3,2,168,195,105,71
